trait_code	h2	intercept	max_abs_rg_with_any_trait	selected_for_efa	study_accession	biomarker_name	group	Z	h2_obs	h2_obs_se	n_independent_leads	reported_trait	ftp_path
Acetate	0.0285524318997965	1.01428918157035	0.396934563646628	True	GCST90451106	Acetate	Ketone bodies	4.555555555555555	0.0287	0.0063	50	Acetate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451106/GCST90451106.tsv.gz
Acetoacetate	0.0274273223168987	1.00064552333039	0.774578142067722	True	GCST90451107	Acetoacetate	Ketone bodies	5.893617021276595	0.0277	0.0047	35	Acetoacetate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451107/GCST90451107.tsv.gz
Acetone	0.0326868401099145	1.00247065535015	0.547190386892789	True	GCST90451108	Acetone	Ketone bodies	4.956521739130435	0.0342	0.0069	50	Acetone	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451108/GCST90451108.tsv.gz
bOHbutyrate	0.0395526496927035	1.03734192568632	0.185778351333404	True	GCST90451114	3-Hydroxybutyrate	Ketone bodies	7.622641509433962	0.0404	0.0053	77	3-Hydroxybutyrate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451114/GCST90451114.tsv.gz
HDL_size	0.166548639720104	1.44880647467862	0.986961332773599	True	GCST90451131	Average diameter for HDL particles	Lipoprotein particle sizes	10.76243093922652	0.1948	0.0181	506	Average diameter for HDL particles	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451131/GCST90451131.tsv.gz
LDL_size	0.0508956875384869	1.13200760023238	0.742718825409883	True	GCST90451156	Average diameter for LDL particles	Lipoprotein particle sizes	6.204819277108434	0.0515	0.0083	120	Average diameter for LDL particles	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451156/GCST90451156.tsv.gz
VLDL_size	0.143156683630558	1.30335922097849	0.977366545005197	True	GCST90451305	Average diameter for VLDL particles	Lipoprotein particle sizes	8.570093457943926	0.1834	0.0214	416	Average diameter for VLDL particles	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451305/GCST90451305.tsv.gz
IDL_TG	0.110415326107587	1.30364886334527	1.00013440128842	False	GCST90451145	Triglycerides in IDL	Lipoprotein subclasses	6.918660287081341	0.1446	0.0209	334	Triglycerides in IDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451145/GCST90451145.tsv.gz
L_HDL_C	0.184753980484845	1.48632644291644	1.00083345128888	True	GCST90451162	Cholesterol in large HDL	Lipoprotein subclasses	11.14720812182741	0.2196	0.0197	578	Cholesterol in large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451162/GCST90451162.tsv.gz
L_HDL_CE	0.184599921594672	1.50414387187844	0.992312301826923	False	GCST90451160	Cholesteryl esters in large HDL	Lipoprotein subclasses	11.36040609137056	0.2238	0.0197	588	Cholesteryl esters in large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451160/GCST90451160.tsv.gz
L_HDL_FC	0.171424477639089	1.45704311790875	0.99973380539778	False	GCST90451164	Free cholesterol in large HDL	Lipoprotein subclasses	10.23589743589744	0.1996	0.0195	541	Free cholesterol in large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451164/GCST90451164.tsv.gz
L_HDL_L	0.172785556870078	1.4670541435103	0.991212994907449	True	GCST90451165	Total lipids in large HDL	Lipoprotein subclasses	11.26519337016575	0.2039	0.0181	532	Total lipids in large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451165/GCST90451165.tsv.gz
L_HDL_PL	0.162626473287264	1.45167426015024	0.9200639513906	False	GCST90451167	Phospholipids in large HDL	Lipoprotein subclasses	10.89772727272727	0.1918	0.0176	510	Phospholipids in large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451167/GCST90451167.tsv.gz
L_LDL_TG	0.11306674910197	1.28822783088958	0.988748591312033	True	GCST90451182	Triglycerides in large LDL	Lipoprotein subclasses	7.163366336633663	0.1447	0.0202	355	Triglycerides in large LDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451182/GCST90451182.tsv.gz
L_VLDL_C	0.126442554202404	1.32422433625101	1.00559689186637	False	GCST90451186	Cholesterol in large VLDL	Lipoprotein subclasses	7.635514018691588	0.1634	0.0214	404	Cholesterol in large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451186/GCST90451186.tsv.gz
L_VLDL_CE	0.118353215912751	1.29932038405183	0.998724491431977	False	GCST90451184	Cholesteryl esters in large VLDL	Lipoprotein subclasses	7.018779342723005	0.1495	0.0213	372	Cholesteryl esters in large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451184/GCST90451184.tsv.gz
